Stop
Together
Question
Ok
Win
Hello
What's Up
Name
Nothing
Busy
No
Friend
Favourite
Ready
Go
Slow
Fast
Teacher
I Agree
Like
Don't Like
Again
Come
Please
Run
Stand Up
Up
Sit Down
Down
Love
Call
Evil
Friendship
Come here
I
What Do You Want?
Done
Live long
Right
Left
Home
Store
Picture
Tree
Meditate
claw
